Employee ID,First Name,Gender,Joining Date,Designation Level,Annual Ctc Lp A,Perform Ace Rating,Surname,Team Name
3,FELINA,f,2014-11-23,D1,11.2,1.9,Prabhu,Zebu
4,TILAK,m,2018-12-20,D1,11.6,2.9,bhargava,Lint
5,BHARANI,f,2013-05-04,D1,6.6,1.5,pandit,IT-Admin
6,SURESH,m,2012-01-20,D2,6.2,0.8,Raghavan,DFT
7,LAKKSHYA,f,2014-05-02,D1,10.8,2.6,Behl,Verification
8,KAREEM,m,2011-02-27,D1,9.6,3.1,Patla,VCS
9,AJAY KUMAR,m,2014-02-13,D1,8.0,0.8,Patal,VCS
10,AMRUTHA,f,2011-02-27,D4,8.9,2.0,Bhatt,IT-Admin
11,MOHAMMED,m,2013-04-01,D1,11.7,1.5,Bhakta,VCS
12,FARHAN,m,2017-08-12,D2,10.4,1.7,Batta,Verification
13,ARAVIND,m,2011-09-19,D2,7.9,2.1,Radhakrishnan,DFT
14,BINDYA,f,2017-08-12,D2,9.0,2.9,Nazareth,Verification
15,CHANDRA,m,2000-03-07,D1,7.6,1.7,Natarajan,VCS
16,DANIEL,m,2018-08-23,D1,11.0,2.2,Bhasin,Verification
17,NAGESH,m,2013-05-04,D2,8.8,1.3,Pillai,Verification
18,WASIM,m,2012-01-20,D3,7.8,1.0,Badal,Zebu
19,DHIRAJ,m,2012-01-20,D3,9.3,2.0,Bhatnagar,Verification
20,HEMANTH,m,2018-08-23,D1,9.1,2.4,Baral,Verification
21,BHARATH,m,2011-02-27,D4,10.7,2.7,Pathak,VCS
22,AKSHAY,m,2017-08-12,D3,11.5,0.4,Apte,IT-Admin
23,ELIZABETH,f,2012-01-20,D1,7.3,1.3,Pillay,Verification
24,CHIRAG,m,2017-08-12,D1,6.3,2.8,Padmanabhan,Verification
25,PRATHIK,m,2018-08-23,D1,7.2,2.4,Arorra,DFT
26,LEJU,m,2018-08-23,D1,10.0,0.9,Bains,DFT
27,ANANYA,f,2018-08-23,D1,10.2,1.7,Parekh,Zebu
28,JAYRAJ,m,2011-02-27,D1,8.2,1.8,Rai,Zebu
29,GEETHA,f,2012-01-20,D2,10.5,1.5,Basak,Verification
30,JEEVAN,m,2012-01-20,D2,8.1,1.4,Bajwa,Verification
31,MOUNA,f,2012-01-20,D2,11.8,2.1,Purohit,Verification
32,Pooja,f,2017-08-12,D1,11.4,2.3,Nigam,Lint
33,HEENA,f,2019-10-04,D1,6.8,1.0,Nath,IT-Admin
34,BRAJESH RAO,m,2017-05-12,D3,8.3,1.6,Pai,DFT
35,MADHAV,m,2019-10-04,D2,10.1,1.9,Pant,Verification
36,MANJU,m,2017-05-12,D1,7.7,2.5,Bhardwaj,Zebu
37,PRAJWAL,m,2019-10-04,D2,6.5,1.6,Bath,Verification
38,VIJAY,m,2014-05-02,D4,11.3,1.4,Bhandari,Verification
39,VINEETH,m,2019-01-16,D2,9.5,2.5,Narula,Verification
40,DHARMA,m,2013-04-23,D2,9.2,2.7,Prabhakar,Verification
41,IMTIYAZ,m,2017-05-12,D2,10.9,1.2,Parmar,Lint
42,DEEKSHA,f,2019-10-04,D2,9.9,1.8,Prasad,Verification
43,FAIZAL,m,2012-01-20,D1,7.0,3.0,Barad,DFT
44,JIGNESH,m,2011-02-27,D1,8.4,2.8,Badami,Verification
45,NEETA,f,2011-02-27,D1,6.1,1.1,Prakash,IT-Admin
46,KANTHARAJ,m,2013-05-04,D2,8.6,1.3,Puri,HR
47,CHINMAY,f,2013-05-04,D2,6.4,1.6,Balakrishnan,Zebu
48,MAHESH,m,2013-05-04,D1,10.3,1.8,Balasubramanian,Verification
49,ESHWAR,m,2014-05-02,D2,7.1,2.6,Pandya,Lint
50,SUNIL,m,2017-05-12,D1,9.8,0.7,Pingle,IT-Admin
51,PRAGNA,f,2011-02-27,D2,9.7,0.5,bhatia,Zebu
52,KAVITHA,f,2000-03-06,D1,8.5,1.1,Natt,HR
53,GABRIEL,m,2012-01-20,D1,8.7,2.3,Bassi,VCS
54,JITENDRA,m,2013-05-04,D2,6.0,1.2,Nayakk,IT-Admin
55,AKILESH,m,2019-10-04,D2,10.6,0.9,Om,DFT
56,CATHERINE,f,2018-08-23,D4,7.5,0.6,Nayar,Zebu
57,BINDU,f,2011-02-27,D3,7.4,2.2,Pradhan,Zebu
58,USHA,f,2013-11-10,D1,9.4,0.7,oza,Zebu
59,LAKSHMAN,m,2017-08-12,D1,6.7,0.6,Bajaj,DFT
60,GIRISH,m,2016-09-16,D1,11.1,2.1,Nori,Verification
62,FELINA,f,2013-09-27,D2,11.6,1.6,Batra,VCS
63,TILAK,m,2019-02-08,D3,6.6,0.6,Narayanan,Verification
64,BHARANI,f,2011-09-02,D4,6.2,2.0,Rai,DFT
65,ASHA,f,2011-02-10,D1,6.9,2.7,Behl,HR
